date,size
1,4838.665376
1,4845.176609
1,5157.99566
1,5637.875537
1,5520.68984
1,5626.337455
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,6443.065671
1,6531.194005
1,6571.118272
1,6545.468115
1,6418.972609
1,6693.884574
1,6601.721613
1,6524.867254
1,6446.837408
1,6550.387437
1,6263.461298
1,6315.621507
1,6299.669556
1,6317.647164
1,6362.240967
1,6664.304133
1,6437.558316
1,6594.327789
1,6543.168932
1,6557.973945
1,6575.689233
1,6654.1072
1,6552.579313
1,6814.237632
1,6714.27925
1,6928.067062
1,6824.46661
1,6926.026147
1,6919.605077
1,7061.943955
1,6862.193228
1,6880.207825
1,6746.610058
1,6719.17695
1,6672.826066
1,6701.449892
1,6562.534409
1,6516.69263
1,6534.141671
1,6644.532262
1,6505.41046
1,6563.202359
1,6339.706503
1,6294.19895
1,6381.65085
1,6336.516076
1,6164.896743
1,6012.195181
1,5986.157306
1,6062.303349
1,5936.789752
1,5877.609959
1,5895.719408
1,5722.354914
1,5790.586771
1,5703.702072
1,5576.884736
1,5519.50763
1,5435.709208
1,5482.643506
1,5359.546934
1,5365.520685
1,5203.537938
1,5189.481521
1,5013.701219
1,5014.927808
1,5036.503236
1,5022.58229
1,4994.482064
1,5018.351887
1,4919.710041
1,4850.331605
1,4833.059733
1,4730.520239
1,4834.666197
1,4800.651515
1,4697.79646
1,4750.136349
1,4637.712177
1,4683.585468
1,4587.269229
1,4534.205358
1,4461
1,4553.043803
1,4484.598307
1,4464.474794
1,4374.492223
1,4461.231244
1,4390.646927
1,4350.760953
1,4450.679782
1,4372.369554
1,4297.794088
1,4469.044197
1,4529.7871
1,4509.027654
1,4385.334061
1,4323.397129
1,4390.797921
1,4419.036354
1,4287.82622
1,4217.421283
1,4164.420698
1,4163.409943
1,4221.105363
1,4210.766711
1,4248.449994
1,4288.272696
1,4251.693102
1,4157.352614
1,4165.268118
1,4069.311089
1,4054.195313
1,4094.333902
1,4035.707986
1,3928.399803
1,3933.765053
1,3955.425422
1,3939.669764
1,3861.547813
1,3791.703552
1,3842.362712
1,3968.041694
1,3937.31561
1,3805.664166
1,3761.303008
1,3799.392863
1,3748.55196
1,3662.899091
1,3669.2397
1,3718.458566
1,3810.189875
1,3822.251225
1,3778.616054
1,3873.270211
1,3932.760409
1,3807.245898
1,3902.134933
1,4035.338647
1,4089.437168
1,4095.269422
1,4129.357159
1,4116.841616
1,4176.233407
1,4155.690392
1,4103.347852
1,4054.035629
1,4132.298375
1,4072.523732
1,4027.142065
1,3987.549406
1,4020.367972
1,4048.53084
1,4089.849698
1,4096.469789
1,4098.221113
1,4033.572693
1,3997.828427
1,3985.928307
1,3927.144372
1,3844.64682
1,3859.037671
1,3839.163782
1,3800.646645
1,3757.498592
1,3785.991938
1,3712.213714
1,3764
1,3644.81448
1,3666.248523
1,3675.447766
1,3679.626002
1,3687.800951
1,3658.797421
1,3562.116626
1,3500.920148
1,3479.635898
1,3449.544359
1,3381.751992
1,3460.231756
1,3427.443479
1,3444.91711
1,3427.475236
1,3435.875644
1,3316.158893
1,3241.707237
1,3190.221101
1,3267.42377
1,3181.758721
1,3127.218711
1,3084.760316
1,3224.367718
1,3117.635711
1,3078.854684
1,3018.143593
1,3086.596384
1,3006.688249
1,2952.675656
1,2895.045924
1,2861.889339
1,2812.206445
1,2812.621214
1,2767.533924
1,2939.37126
1,2858.247704
1,2847.713852
1,2834.906064
1,2867.4764
1,2807.473883
1,2769.758093
1,2695.102633
1,2726.912784
1,2709.574197
1,2698.158781
1,2686.016472
1,2781.155219
1,2748.826101
1,2696.026264
1,2731.639656
1,2759.353831
1,2724.702884
1,2781.340301
1,2718.417512
1,2710.957166
1,2683.093359
1,2667.589512
1,2642.04609
1,2697.774999
1,2667.437792
1,2648.34199
1,2651.274353
1,2644.13214
1,2573.827192
1,2561.011946
1,2525.153132
1,2513.722414
1,2550.049514
1,2573.702974
1,2622.558642
1,2756.045764
1,2744.070577
1,2748.01082
1,2784.733829
1,2805.62166
1,2731.392776
1,2739.922877
1,2699.968567
1,2708.635912
1,2719.867287
1,2787.155651
1,2775.394252
1,2881.652698
1,2956.202814
1,2924.030195
1,2913.810916
1,2979.707963
1,2966.817865
1,3033.366054
1,3007.466072
1,3056.81638
1,3095.712265
1,3175.462108
1,3123.297727
1,3268.077027
1,3260.444851
1,3267.819358
1,3287.906491
1,3367.369355
1,3347.786076
1,3387.779841
1,3422.416424
1,3434.542561
1,3427.692909
1,3500.236119
1,3452.451764
1,3498.361915
1,3535.57279
1,3667.595828
1,3696.777136
1,3762.477393
1,3845.579184
1,3786.70668
1,3836.444169
1,3802.986653
1,3802.115334
1,3729.497793
1,3704.698316
1,3716.346338
1,3421.464861
1,3401.18307
1,3473.385543
1,3554.781875
1,3583.226889
1,3655.633915
1,3552.670868
1,3608.75822
1,3708.823757
1,3637.134724
1,3588.78441
1,3775.29693
1,3682.037807
1,3683.236326
1,3773.579158
1,3785.045916
1,3710.107822
1,3739.342129
1,3609.869599
1,3702.268202
1,3844.770625
1,4017.818217
1,3952.152682
1,4035.050724
1,3938.744759
1,3986.194159
1,4075.787396
1,4189.808329
1,4209.804742
1,4247.662186
1,4149.910057
1,4057.241388
1,4027.919261
1,3972.385199
1,4036.149451
1,4111.560004
1,4075.349468
1,4021.037473
1,4081.353874
1,4248.670608
1,4212.062693
1,4244.651445
1,4190.108869
1,4211.672077
1,4171.834013
1,4237.408252
1,4104.765376
1,4145.869372
1,4333.040936
1,4327.791524
1,4283.945966
1,4287.299906
1,4186.275354
1,4163.186225
1,4233.15501
1,4178.544217
1,4100.799296
1,4086.962274
1,3946.540915
1,3999.429555
1,3985.170028
1,3942.508778
1,3977.717198
1,4043.213317
1,3969.11892
1,4014.443364
1,3939.468376
1,3939.766373
1,3920.229755
1,3918.459687
1,3791.481543
1,3902.146638
1,3911.994131
1,3999.132114
1,4011.536689
1,4075.958233
1,4031.944622
1,4122.636264
1,4037.044518
1,3945.816698
1,3832.393365
1,3873.100581
1,3894.093066
1,4129.316312
1,4039.481536
1,3990.200295
1,3965.25974
1,4062.467956
1,4006.546383
1,4067.234462
1,3964.67528
1,3945.533618
1,3942.673821
1,3967.723477
1,3913.223085
1,3933.683042
1,3844.076686
1,3793.231788
1,3871.629428
1,3910.121406
1,3889.658423
1,3921.698444
1,3840.671103
1,3933.462906
1,3866.18338
1,3826.115852
1,3807.389323
1,3862.590981
1,3818.571407
1,3879.012953
1,3834.378543
1,3879.017716
1,3759.130818
1,3786.19052
1,3624.729309
1,3648.145779
1,3549.285943
1,3710.51452
1,3732.428804
1,3678.7772
1,3742.413406
1,3620.520561
1,3539.287712
1,3592.109299
1,3568.73264
1,3596.814216
1,3528.707963
1,3443.503042
1,3557.773364
1,3554.61799
1,3542.167339
1,3554.554676
1,3600.673545
1,3524.678807
1,3542.315809
1,3567.897903
1,3472.866853
1,3412.684779
1,3400.658688
1,3347.694513
1,3263.623747
1,3332.683149
1,3328.760079
1,3404.891667
1,3428.721288
1,3461.468929
1,3416.849011
1,3399.9748
1,3366.956429
1,3359.776001
1,3295.538946
1,3275.095622
1,3250.219976
1,3319.047803
1,3274.466552
1,3257.487372
1,3190.916473
1,3128.639632
1,3176.165025
1,3184.295015
1,3090.523772
1,3090.352304
1,3105.782361
1,3105.823227
1,3047.132415
1,3036.405302
1,2968.822028
1,2944.734044
1,3204.177975
1,3177.151617
1,3235.786659
1,3322.29379
1,3209.649444
1,3207.810836
1,3079.985369
1,3123.421855
1,3088.956793
1,3041.510328
1,3062.651791
1,3174.009335
1,3072.434725
1,3062.463026
1,3097.739004
1,3144.451602
1,3475.923733
1,2765.04437
1,2724.413272
1,2803.616271
1,2767.664301
1,2696.361535
1,2697.548545
1,3088.745958
1,3056.302003
1,3004.095167
1,3104.332829
1,2355.546623
1,2492.638677
1,2883.259401
1,2155.807394
1,1894.032102
1,2177.194842
1,2370.483781
1,2450.964962
1,2285.928912
1,2153.846456
1,1596.847818
1,1800.613001
1,2040.361853
1,2017.20849
1,1952.170256
1,1949.660329
1,2000.06043
1,1987.455817
1,1983.908192
1,1961.205931
1,2041.024539
1,1528.972304
1,1587.588166
1,1710.075868
1,1997.928515
1,2057.613566
1,1964.319179
1,1942.439341
1,1944.909966
1,1975.797365
1,1860.33444
1,1888.312937
1,1907.77684
1,1800.16801
1,1837.459985
1,1867.717855
1,1902.430239
1,1841.951498
1,1876.853314
1,1831.268171
1,1830.03026
1,1819.475184
1,1812.502935
1,1774.513336
1,1939.160484
1,2037.155239
1,2034.836957
1,1917.939363
1,2002.827845
1,1876.933348
1,1904.595731
1,1837.500389
1,1888.338998
1,1977.949887
1,2055.44926
1,2019.955245
1,2132.051251
1,2092.441269
1,2111.4012
1,2196.142807
1,2148.691767
1,2182.647259
1,2202.685427
1,2071.952793
1,2095.420821
1,2115.96518
1,2173.368589
1,2172.690388
1,2186.574517
1,2243.125588
1,2257.337116
1,2245.564879
1,2297.569236
1,2297.712534
1,2269.125469
1,2253.868251
1,2425.61327
1,2331.016067
1,2455.4177
1,2431.844012
1,2555.269087
1,2542.926334
1,2561.550683
1,2560.015397
1,2607.173652
1,2646.852153
1,2731.934633
1,2680.579768
1,2657.067098
1,2690.096251
1,2773.53455
1,2777.382443
1,2848.424671
1,2854.078427
1,2846.632519
1,2909.26651
1,2990.511617
1,2942.589558
1,3044.473949
1,3077.140923
1,3065.261732
1,3080.013471
1,3151.437996
1,3132.100975
1,3211.187517
1,3296.457693
1,3327.84111
1,3371.49787
1,3421.420488
1,3361.380021
1,3399.011179
1,3396.159071
1,3440.391487
1,3497.374443
1,3465.596362
1,3524.9229
1,3624.22641
1,3654.337252
1,3723.28442
1,3684.426511
1,3791.294881
1,3830.170085
1,3890.023346
1,3965.761788
1,3916.410897
1,3978
1,3861.873746
1,4022.344394
1,3947.745705
1,3993.063654
1,3930
1,3978.488803
1,4233.266287
1,4066.424354
1,4128.346766
1,4257.64656
1,4125.480031
1,4206.246947
1,4143.614892
1,4277.628454
1,4480.200132
1,4861.60108
1,4610.398865
1,4641.5625
1,5435.88784
1,5070.653599
1,5352.934738
1,5356.232981
1,5222.234079
1,5062.854292
1,5242.13351
1,5412.373232
1,5636.585181
1,5915.307874
1,5834.665373
1,5764.854238
1,5890.095068
1,5886.754753
1,5986.416503
1,5913.86047
1,5822.263979
1,5723.970438
1,5771.480239
1,5914.032764
1,5929.530552
1,5858.214431
1,5892.218906
1,6073.18697
1,6109.601485
1,6018.868338
1,6100.060905
1,6044.95925
1,6105.480649
1,6010.865833
1,5916.567276
1,5872.979042
1,5805.684915
1,5662.546774
1,5809.370739
1,5851.006346
1,5878.978589
1,5876.791346
1,5922.29709
1,5907.088613
1,5986.206677
1,6009.136723
1,6020.427102
1,6126.559644
1,6091.401585
1,6048.381809
1,6198.62587
1,6244.961237
1,6230.663845
1,6083.271288
1,5973.196645
1,5871.45458
1,6015.446903
1,6148.437519
1,6179.829757
1,5914.902316
1,5850.300566
1,5966.506446
1,6032.30042
1,6013.748078
1,5960.466357
1,5925.017924
1,5976.947398
1,5700.619963
1,5775.345928
1,5675.313146
1,5837.308913
1,5978.719285
1,5944.666667
1,5975.914058
1,6043.891296
1,6006.842003
1,5935.679055
1,5866.815019
1,5885.696652
1,5821.684321
1,5910.67536
1,5784.399346
1,5660.822845
1,5706.739663
1,5879.728776
1,5885.475039
1,5856.732997
1,5778.363722
1,5852.875406
1,5756.052012
1,5712.448296
1,5706.201458
1,5644.28876
1,5570.008259
1,5558.402561
1,5480.394776
1,5500.522747
1,5510.744167
1,5512.152985
1,5485.190413
1,5361.229567
1,5235.556629
1,5388.874556
1,5090.466742
1,5298.49454
1,5200.044277
1,5152.608426
1,5065.443619
1,5021.896549
